geolocation_zip_code_prefix,geolocation_city,geolocation_state,geolocation_country,geolocation_city_state
1001,SAO PAULO,SP,BR,SAO PAULO - SP
1002,SAO PAULO,SP,BR,SAO PAULO - SP
1003,SAO PAULO,SP,BR,SAO PAULO - SP
1004,SAO PAULO,SP,BR,SAO PAULO - SP
1005,SAO PAULO,SP,BR,SAO PAULO - SP
1006,SAO PAULO,SP,BR,SAO PAULO - SP
1007,SAO PAULO,SP,BR,SAO PAULO - SP
1008,SAO PAULO,SP,BR,SAO PAULO - SP
1009,SAO PAULO,SP,BR,SAO PAULO - SP
1010,SAO PAULO,SP,BR,SAO PAULO - SP
1011,SAO PAULO,SP,BR,SAO PAULO - SP
1012,SÃO PAULO,SP,BR,SÃO PAULO - SP
1013,SAO PAULO,SP,BR,SAO PAULO - SP
1014,SAO PAULO,SP,BR,SAO PAULO - SP
1015,SAO PAULO,SP,BR,SAO PAULO - SP
1016,SAO PAULO,SP,BR,SAO PAULO - SP
1017,SÃO PAULO,SP,BR,SÃO PAULO - SP
1018,SAO PAULO,SP,BR,SAO PAULO - SP
1019,SAO PAULO,SP,BR,SAO PAULO - SP
1020,SÃO PAULO,SP,BR,SÃO PAULO - SP
1021,SAO PAULO,SP,BR,SAO PAULO - SP
1022,SAO PAULO,SP,BR,SAO PAULO - SP
1023,SAO PAULO,SP,BR,SAO PAULO - SP
1024,SÃO PAULO,SP,BR,SÃO PAULO - SP
1025,SAO PAULO,SP,BR,SAO PAULO - SP
1026,SÃO PAULO,SP,BR,SÃO PAULO - SP
1027,SAO PAULO,SP,BR,SAO PAULO - SP
1028,SAO PAULO,SP,BR,SAO PAULO - SP
1029,SAO PAULO,SP,BR,SAO PAULO - SP
1030,SÃO PAULO,SP,BR,SÃO PAULO - SP
1031,SAO PAULO,SP,BR,SAO PAULO - SP
1032,SAO PAULO,SP,BR,SAO PAULO - SP
1033,SAO PAULO,SP,BR,SAO PAULO - SP
1034,SAO PAULO,SP,BR,SAO PAULO - SP
1035,SAO PAULO,SP,BR,SAO PAULO - SP
1036,SAO PAULO,SP,BR,SAO PAULO - SP
1037,SAO PAULO,SP,BR,SAO PAULO - SP
1038,SAO PAULO,SP,BR,SAO PAULO - SP
1039,SAO PAULO,SP,BR,SAO PAULO - SP
1040,SAO PAULO,SP,BR,SAO PAULO - SP
1041,SAO PAULO,SP,BR,SAO PAULO - SP
1042,SAO PAULO,SP,BR,SAO PAULO - SP
1043,SÃO PAULO,SP,BR,SÃO PAULO - SP
1044,SAO PAULO,SP,BR,SAO PAULO - SP
1045,SAO PAULO,SP,BR,SAO PAULO - SP
1046,SAO PAULO,SP,BR,SAO PAULO - SP
1047,SAO PAULO,SP,BR,SAO PAULO - SP
1048,SÃO PAULO,SP,BR,SÃO PAULO - SP
1049,SAO PAULO,SP,BR,SAO PAULO - SP
1050,SAO PAULO,SP,BR,SAO PAULO - SP
1101,SAO PAULO,SP,BR,SAO PAULO - SP
1102,SÃO PAULO,SP,BR,SÃO PAULO - SP
1103,SÃO PAULO,SP,BR,SÃO PAULO - SP
1104,SAO PAULO,SP,BR,SAO PAULO - SP
1105,SAO PAULO,SP,BR,SAO PAULO - SP
1106,SAO PAULO,SP,BR,SAO PAULO - SP
1107,SAO PAULO,SP,BR,SAO PAULO - SP
1108,SAO PAULO,SP,BR,SAO PAULO - SP
1109,SAO PAULO,SP,BR,SAO PAULO - SP
1120,SAO PAULO,SP,BR,SAO PAULO - SP
1121,SAO PAULO,SP,BR,SAO PAULO - SP
1122,SÃO PAULO,SP,BR,SÃO PAULO - SP
1123,SAO PAULO,SP,BR,SAO PAULO - SP
1124,SAO PAULO,SP,BR,SAO PAULO - SP
1125,SAO PAULO,SP,BR,SAO PAULO - SP
1126,SAO PAULO,SP,BR,SAO PAULO - SP
1127,SAO PAULO,SP,BR,SAO PAULO - SP
1128,SAO PAULO,SP,BR,SAO PAULO - SP
1129,SAO PAULO,SP,BR,SAO PAULO - SP
1130,SAO PAULO,SP,BR,SAO PAULO - SP
1131,SAO PAULO,SP,BR,SAO PAULO - SP
1132,SAO PAULO,SP,BR,SAO PAULO - SP
1133,SAO PAULO,SP,BR,SAO PAULO - SP
1134,SÃO PAULO,SP,BR,SÃO PAULO - SP
